LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,ParameterList
631,2015-10-18,"18:04:08,065",INFO,ContainerLauncher #8,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Launching attempt_1445144423722_0020_m_000008_0,E62,Launching <*>,"['a', 't', 't', 'e', 'm', 'p', 't', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '8', '_', '0']"
632,2015-10-18,"18:04:08,065",INFO,ContainerLauncher #8,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Opening proxy : MSRA-SA-39.fareast.corp.microsoft.com:28345,E74,Opening proxy : <*>:<*>,"['MSRA-SA-39.fareast.corp.microsoft.com', '28345']"
633,2015-10-18,"18:04:08,190",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.6199081,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000003_0', '0.6199081']"
634,2015-10-18,"18:04:08,205",INFO,ContainerLauncher #8,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000008_0 : 13562,E94,Shuffle port returned by ContainerManager for <*> : <*>,"['attempt_1445144423722_0020_m_000008_0', '13562']"
635,2015-10-18,"18:04:08,205",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000008_0] using containerId: [container_1445144423722_0020_01_000010 on NM: [MSRA-SA-39.fareast.corp.microsoft.com:28345],E105,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>:<*>],"['attempt_1445144423722_0020_m_000008_0', 'container_1445144423722_0020_01_000010', 'MSRA-SA-39.fareast.corp.microsoft.com', '28345']"
636,2015-10-18,"18:04:08,205",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000008_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,E14,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,"['a', 't', 't', 'e', 'm', 'p', 't', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '8', '_', '0']"
637,2015-10-18,"18:04:08,205",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000008,E22,ATTEMPT_START <*>,"['t', 'a', 's', 'k', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '8']"
638,2015-10-18,"18:04:08,205",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000008 Task Transitioned from SCHEDULED to RUNNING,E104,<*> Task Transitioned from SCHEDULED to RUNNING,"['t', 'a', 's', 'k', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '8']"
639,2015-10-18,"18:04:08,877",INFO,IPC Server handler 20 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000006_0 is : 0.106964506,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000006_0', '0.106964506']"
640,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=1 finishedContainers=0 resourcelimit=<memory:0, vCores:-27> knownNMs=4",E45,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>","['application_1445144423722_0020', '4', '0', '1', '0', '0', '-27>', '4']"
641,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Got allocated containers 1,E46,Got allocated containers <*>,['1']
642,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Assigned container container_1445144423722_0020_01_000011 to attempt_1445144423722_0020_m_000009_0,E13,Assigned container <*> to <*>,"['container_1445144423722_0020_01_000011', 'attempt_1445144423722_0020_m_000009_0']"
643,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","['0', '-27>']"
644,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,['1']
645,2015-10-18,"18:04:08,987",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,After Scheduling: PendingReds:1 ScheduledMaps:0 ScheduledReds:0 AssignedMaps:10 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:10 ContRel:0 HostLocal:7 RackLocal:3,E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"['1', '0', '0', '10', '0', '0', '0', '10', '0', '7', '3']"
646,2015-10-18,"18:04:08,987",INFO,AsyncDispatcher event handler,org.apache.hadoop.yarn.util.RackResolver,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,E90,Resolved <*> to <*>,"['MSRA-SA-39.fareast.corp.microsoft.com', '/default-rack']"
647,2015-10-18,"18:04:08,987",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,E21,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,"['a', 't', 't', 'e', 'm', 'p', 't', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '9', '_', '0']"
648,2015-10-18,"18:04:09,096",INFO,ContainerLauncher #9,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000011 taskAttempt attempt_1445144423722_0020_m_000009_0,E77,Processing the event EventType: <*> for container <*> taskAttempt <*>,"['CONTAINER_REMOTE_LAUNCH', 'container_1445144423722_0020_01_000011', 'attempt_1445144423722_0020_m_000009_0']"
649,2015-10-18,"18:04:09,096",INFO,ContainerLauncher #9,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Launching attempt_1445144423722_0020_m_000009_0,E62,Launching <*>,"['a', 't', 't', 'e', 'm', 'p', 't', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '9', '_', '0']"
650,2015-10-18,"18:04:09,096",INFO,ContainerLauncher #9,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Opening proxy : MSRA-SA-39.fareast.corp.microsoft.com:28345,E74,Opening proxy : <*>:<*>,"['MSRA-SA-39.fareast.corp.microsoft.com', '28345']"
651,2015-10-18,"18:04:09,268",INFO,ContainerLauncher #9,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000009_0 : 13562,E94,Shuffle port returned by ContainerManager for <*> : <*>,"['attempt_1445144423722_0020_m_000009_0', '13562']"
652,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000009_0] using containerId: [container_1445144423722_0020_01_000011 on NM: [MSRA-SA-39.fareast.corp.microsoft.com:28345],E105,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>:<*>],"['attempt_1445144423722_0020_m_000009_0', 'container_1445144423722_0020_01_000011', 'MSRA-SA-39.fareast.corp.microsoft.com', '28345']"
653,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,E14,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,"['a', 't', 't', 'e', 'm', 'p', 't', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '9', '_', '0']"
654,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000009,E22,ATTEMPT_START <*>,"['t', 'a', 's', 'k', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '9']"
655,2015-10-18,"18:04:09,268",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000009 Task Transitioned from SCHEDULED to RUNNING,E104,<*> Task Transitioned from SCHEDULED to RUNNING,"['t', 'a', 's', 'k', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '0', '9']"
656,2015-10-18,"18:04:09,955",INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000001_0', '0.27776006']"
657,2015-10-18,"18:04:10,002",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=1 finishedContainers=0 resourcelimit=<memory:0, vCores:-27> knownNMs=4",E45,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>","['application_1445144423722_0020', '4', '0', '1', '0', '0', '-27>', '4']"
658,2015-10-18,"18:04:10,002",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Got allocated containers 1,E46,Got allocated containers <*>,['1']
659,2015-10-18,"18:04:10,002",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Cannot assign container Container: [ContainerId: container_1445144423722_0020_01_000012, NodeId: MSRA-SA-39.fareast.corp.microsoft.com:28345, NodeHttpAddress: MSRA-SA-39.fareast.corp.microsoft.com:8042, Resource: <memory:1024, vCores:1>, Priority: 20, Token: Token { kind: ContainerToken, service: 172.22.149.145:28345 }, ] for a map as either container memory less than required <memory:1024, vCores:1> or no pending map tasks - maps.isEmpty=true",E26,"Cannot assign container Container: [ContainerId: <*>, NodeId: <*>:<*>, NodeHttpAddress: <*>:<*>, Resource: <memory:<*>, vCores:<*>, Priority: <*>, Token: Token { kind: ContainerToken, service: <*>:<*> }, ] for a map as either container memory less than required <memory:<*>, vCores:<*> or no pending map tasks - maps.isEmpty=<*>","['container_1445144423722_0020_01_000012', 'MSRA-SA-39.fareast.corp.microsoft.com', '28345', 'MSRA-SA-39.fareast.corp.microsoft.com', '8042', '1024', '1>', '20', '172.22.149.145', '28345', '1024', '1>', 'true']"
660,2015-10-18,"18:04:10,002",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","['0', '-27>']"
661,2015-10-18,"18:04:10,002",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,['1']
662,2015-10-18,"18:04:10,002",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,After Scheduling: PendingReds:1 ScheduledMaps:0 ScheduledReds:0 AssignedMaps:10 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:11 ContRel:1 HostLocal:7 RackLocal:3,E11,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"['1', '0', '0', '10', '0', '0', '0', '11', '1', '7', '3']"
663,2015-10-18,"18:04:10,315",INFO,IPC Server handler 10 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000002_0', '0.27772525']"
664,2015-10-18,"18:04:10,424",INFO,IPC Server handler 4 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000000_0', '0.27696857']"
665,2015-10-18,"18:04:10,940",INFO,IPC Server handler 8 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000005_0 is : 0.10685723,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000005_0', '0.10685723']"
666,2015-10-18,"18:04:11,034",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=0 release= 1 newContainers=0 finishedContainers=1 resourcelimit=<memory:1024, vCores:-26> knownNMs=4",E45,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>","['application_1445144423722_0020', '0', '1', '0', '1', '1024', '-26>', '4']"
667,2015-10-18,"18:04:11,034",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Received completed container container_1445144423722_0020_01_000012,E84,Received completed container <*>,"['c', 'o', 'n', 't', 'a', 'i', 'n', 'e', 'r', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', '0', '1', '_', '0', '0', '0', '0', '1', '2']"
668,2015-10-18,"18:04:11,034",ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E28,Container complete event for unknown container id <*>,"['c', 'o', 'n', 't', 'a', 'i', 'n', 'e', 'r', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', '0', '1', '_', '0', '0', '0', '0', '1', '2']"
669,2015-10-18,"18:04:11,034",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:1024, vCores:-26>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","['1024', '-26>']"
670,2015-10-18,"18:04:11,034",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,['1']
671,2015-10-18,"18:04:11,049",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000004_0 is : 0.10680563,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000004_0', '0.10680563']"
672,2015-10-18,"18:04:11,237",INFO,IPC Server handler 10 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.6199081,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000003_0', '0.6199081']"
673,2015-10-18,"18:04:11,612",INFO,Socket Reader #1 for port 62270,SecurityLogger.org.apache.hadoop.ipc.Server,Auth successful for job_1445144423722_0020 (auth:SIMPLE),E23,Auth successful for <*> (auth:SIMPLE),"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0']"
674,2015-10-18,"18:04:11,643",INFO,IPC Server handler 23 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID : jvm_1445144423722_0020_m_000010 asked for a task,E58,JVM with ID : <*> asked for a task,"['j', 'v', 'm', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '1', '0']"
675,2015-10-18,"18:04:11,643",INFO,IPC Server handler 23 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID: jvm_1445144423722_0020_m_000010 given task: attempt_1445144423722_0020_m_000008_0,E59,JVM with ID: <*> given task: <*>,"['jvm_1445144423722_0020_m_000010', 'attempt_1445144423722_0020_m_000008_0']"
676,2015-10-18,"18:04:11,924",INFO,IPC Server handler 20 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000006_0 is : 0.106964506,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000006_0', '0.106964506']"
677,2015-10-18,"18:04:12,065",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","['0', '-27>']"
678,2015-10-18,"18:04:12,065",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,['1']
679,2015-10-18,"18:04:12,112",INFO,Socket Reader #1 for port 62270,SecurityLogger.org.apache.hadoop.ipc.Server,Auth successful for job_1445144423722_0020 (auth:SIMPLE),E23,Auth successful for <*> (auth:SIMPLE),"['j', 'o', 'b', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0']"
680,2015-10-18,"18:04:12,143",INFO,IPC Server handler 10 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID : jvm_1445144423722_0020_m_000011 asked for a task,E58,JVM with ID : <*> asked for a task,"['j', 'v', 'm', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', 'm', '_', '0', '0', '0', '0', '1', '1']"
681,2015-10-18,"18:04:12,143",INFO,IPC Server handler 10 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID: jvm_1445144423722_0020_m_000011 given task: attempt_1445144423722_0020_m_000009_0,E59,JVM with ID: <*> given task: <*>,"['jvm_1445144423722_0020_m_000011', 'attempt_1445144423722_0020_m_000009_0']"
682,2015-10-18,"18:04:13,346",INFO,IPC Server handler 14 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.29115766,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000001_0', '0.29115766']"
683,2015-10-18,"18:04:13,596",INFO,IPC Server handler 23 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.6199081,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000003_0', '0.6199081']"
684,2015-10-18,"18:04:13,674",INFO,IPC Server handler 9 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.2898827,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000002_0', '0.2898827']"
685,2015-10-18,"18:04:13,971",INFO,IPC Server handler 11 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000000_0', '0.27696857']"
686,2015-10-18,"18:04:14,018",INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000005_0 is : 0.19247705,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000005_0', '0.19247705']"
687,2015-10-18,"18:04:14,159",INFO,IPC Server handler 5 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000004_0 is : 0.18529637,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000004_0', '0.18529637']"
688,2015-10-18,"18:04:14,159",INFO,IPC Server handler 5 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000007_0 is : 0.10681946,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000007_0', '0.10681946']"
689,2015-10-18,"18:04:14,315",INFO,IPC Server handler 14 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.667,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000003_0', '0.667']"
690,2015-10-18,"18:04:15,049",INFO,IPC Server handler 8 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000006_0 is : 0.19266446,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000006_0', '0.19266446']"
691,2015-10-18,"18:04:16,440",INFO,IPC Server handler 0 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.31981927,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000001_0', '0.31981927']"
692,2015-10-18,"18:04:16,768",INFO,IPC Server handler 19 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.32958937,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000002_0', '0.32958937']"
693,2015-10-18,"18:04:17,128",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000005_0 is : 0.19247705,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000005_0', '0.19247705']"
694,2015-10-18,"18:04:17,237",INFO,IPC Server handler 14 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000004_0 is : 0.19242907,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000004_0', '0.19242907']"
695,2015-10-18,"18:04:17,237",INFO,IPC Server handler 0 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000007_0 is : 0.10681946,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000007_0', '0.10681946']"
696,2015-10-18,"18:04:17,362",INFO,IPC Server handler 29 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000000_0', '0.27696857']"
697,2015-10-18,"18:04:17,425",INFO,IPC Server handler 2 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.667,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000003_0', '0.667']"
698,2015-10-18,"18:04:18,190",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000006_0 is : 0.19266446,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000006_0', '0.19266446']"
699,2015-10-18,"18:04:18,987",INFO,IPC Server handler 3 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000008_0 is : 0.106881365,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000008_0', '0.106881365']"
700,2015-10-18,"18:04:19,753",INFO,IPC Server handler 19 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000009_0 is : 0.295472,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000009_0', '0.295472']"
701,2015-10-18,"18:04:20,206",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000005_0 is : 0.19247705,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000005_0', '0.19247705']"
702,2015-10-18,"18:04:20,206",INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.3512319,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000001_0', '0.3512319']"
703,2015-10-18,"18:04:20,362",INFO,IPC Server handler 5 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000004_0 is : 0.19242907,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000004_0', '0.19242907']"
704,2015-10-18,"18:04:20,362",INFO,IPC Server handler 5 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000007_0 is : 0.10681946,E80,Progress of TaskAttempt <*> is : <*>,"['attempt_1445144423722_0020_m_000007_0', '0.10681946']"
